"Visit <a target=""_blank"" href=""https://developer.twitter.com/en/docs/tweets/optimize-with-cards/guides/getting-started"">this page</a> to learn more about Twitter Cards. To enable the feature, make sure you enter Twitter Username.","Visit <a target=""_blank"" href=""https://developer.twitter.com/en/docs/tweets/optimize-with-cards/guides/getting-started"">this page</a> to learn more about Twitter Cards. To enable the feature, make sure you enter Twitter Username."
"Page Title","Page Title"
"This setting allows you to select what page attribute will be used in Twitter Cards as the title for CMS pages.","This setting allows you to select what page attribute will be used in Twitter Cards as the title for CMS pages."
"Page Description","Page Description"
"This setting allows you to select what page attribute will be used in Twitter Cards as the description for CMS pages.","This setting allows you to select what page attribute will be used in Twitter Cards as the description for CMS pages."
"Enable Website","Enable Website"
"Twitter Username","Twitter Username"
"Add sameAs property","Add sameAs property"
"sameAs snippet","sameAs snippet"
"URL of a reference Web page that unambiguously indicates the item's identity. More %schema %link.","URL of a reference Web page that unambiguously indicates the item's identity. More %schema %link."
"Add isRelatedTo property","Add isRelatedTo property"
"isRelatedTo snippet","isRelatedTo snippet"
"A pointer to another, somehow related product (or multiple products). More %schema %link.","A pointer to another, somehow related product (or multiple products). More %schema %link."
"Image mode","Image mode"
"Base only","Base only"
"All collection","All collection"
"If enabled 'All collection', all product images, except hidden ones, will be added to the scheme.","If enabled 'All collection', all product images, except hidden ones, will be added to the scheme."
"Merchant Return Policy Data Source","Merchant Return Policy Data Source"
"Use custom attribute","Use custom attribute"
"Use Magento RMA settings","Use Magento RMA settings"
