Code,Name,Description,Category,Price,Product_URL,Image_URL,Brand
79,"ACTi E32 3MP Bullet Camera with D/N, IR, Basic WDR and a Fixed 4.2mm Lens","ACTi E32 3MP Bullet Camera with D/N, IR, Basic WDR and a Fixed 4.2mm Lens","IP megapixel bullet /tube cameras",194.00,http://www.3gmobilecctv.com/index.php/catalog/product/view/id/79/,http://www.3gmobilecctv.com/media/catalog/product/e/3/e32_l.jpg,ACTi
80,"ACTi E33 5MP Bullet Camera with D/N, IR, Basic WDR and a Fixed 4.2mm Lens","ACTi E33 5MP Bullet Camera with D/N, IR, Basic WDR and a Fixed 4.2mm Lens","IP megapixel bullet /tube cameras",246.00,http://www.3gmobilecctv.com/index.php/catalog/product/view/id/80/,http://www.3gmobilecctv.com/media/catalog/product/e/3/e33_l.jpg,ACTi
81,"ACTi E34 3MP Bullet Camera with D/N, IR, Superior WDR and a Fixed 3.6mm Lens","ACTi E34 3MP Bullet Camera with D/N, IR, Superior WDR and a Fixed 3.6mm Lens","IP megapixel bullet /tube cameras",246.00,http://www.3gmobilecctv.com/index.php/catalog/product/view/id/81/,http://www.3gmobilecctv.com/media/catalog/product/e/3/e34_l.jpg,ACTi
82,"IPS-511 Low Lux 1 Mega-Pixel IR IP Bullet Camera ","IPS-511 Low Lux 1 Mega-Pixel IR IP Bullet Camera 
","IP megapixel bullet /tube cameras",105.00,http://www.3gmobilecctv.com/index.php/catalog/product/view/id/82/,http://www.3gmobilecctv.com/media/catalog/product/i/p/ips-511.jpg,"IPS Technology"
83,"IPS-511S Low Lux Mini IR IP bullet camera","IPS-511S Low Lux Mini IR IP bullet camera","IP megapixel bullet /tube cameras",105.00,http://www.3gmobilecctv.com/index.php/catalog/product/view/id/83/,http://www.3gmobilecctv.com/media/catalog/product/i/p/ips-511s.jpg,"IPS Technology"
84,"IPS-512V Low Lux 1 Megapixel IR IP bullet camera","IPS-512V Low Lux 1 Megapixel IR IP bullet camera","IP megapixel bullet /tube cameras",115.00,http://www.3gmobilecctv.com/index.php/catalog/product/view/id/84/,http://www.3gmobilecctv.com/media/catalog/product/i/p/ips-x12v.jpg,"IPS Technology"
85,"IPS-512VW Low Lux 1 Megapixel Mini IR IP bullet camera with WiFi ","IPS-512VW Low Lux 1 Megapixel Mini IR IP bullet camera with WiFi ","IP megapixel bullet /tube cameras",129.00,http://www.3gmobilecctv.com/index.php/catalog/product/view/id/85/,http://www.3gmobilecctv.com/media/catalog/product/i/p/ips-512vw.jpg,"IPS Technology"
86,"IPS-513V Low Lux 1 Megapixel 4X Zoom IR IP bullet camera","IPS-513V Low Lux 1 Megapixel 4X Zoom IR IP bullet camera","IP megapixel bullet /tube cameras",129.00,http://www.3gmobilecctv.com/index.php/catalog/product/view/id/86/,http://www.3gmobilecctv.com/media/catalog/product/i/p/ips-x13v.jpg,"IPS Technology"
87,"IPS-711 WDR 1 Mega-Pixel IR IP Bullet Camera ","IPS-711 WDR 1 Mega-Pixel IR IP Bullet Camera ","IP megapixel bullet /tube cameras",120.00,http://www.3gmobilecctv.com/index.php/catalog/product/view/id/87/,http://www.3gmobilecctv.com/media/catalog/product/i/p/ips-711.jpg,"IPS Technology"
88,"IPS-711S WDR 1 Megapixel Mini IR IP bullet camera","IPS-711S WDR 1 Megapixel Mini IR IP bullet camera","IP megapixel bullet /tube cameras",120.00,http://www.3gmobilecctv.com/index.php/catalog/product/view/id/88/,http://www.3gmobilecctv.com/media/catalog/product/i/p/ips-511s_1.jpg,"IPS Technology"
